user_id,username,email,acc_creation_date,follower_count
0,nickdenardis,nickdenardis@twitter.com,9 / 24 / 2022,112186
1,katiekatiek,katiekatiek@twitter.com,10 / 2 / 1991,62310
2,1314179,1314179@twitter.com,6 / 26 / 2008,121270
3,bryonywire,bryonywire@twitter.com,1 / 10 / 2011,17051
4,guyberryman,guyberryman@twitter.com,9 / 3 / 2000,29353
5,ViciousPotato,ViciousPotato@twitter.com,1 / 1 / 1999,54054
6,onion2k,onion2k@twitter.com,7 / 24 / 1994,110674
7,songineverheard,songineverheard@twitter.com,8 / 24 / 2015,47173
8,meghanlynx3,meghanlynx3@twitter.com,10 / 13 / 1995,43096
9,jessicastrust,jessicastrust@twitter.com,2 / 8 / 2024,40929
10,beutflone,beutflone@twitter.com,5 / 4 / 1989,87559
11,techieteri,techieteri@twitter.com,5 / 1 / 1984,122810
12,Jesus86,Jesus86@twitter.com,2 / 4 / 2025,18720
13,mslollybot,mslollybot@twitter.com,11 / 26 / 2023,113621
14,sandermartijn,sandermartijn@twitter.com,8 / 12 / 2001,5385
15,KnowLoco,KnowLoco@twitter.com,6 / 26 / 2008,117312
16,BrownBella,BrownBella@twitter.com,8 / 15 / 1984,17454
17,mayalabeille,mayalabeille@twitter.com,11 / 20 / 2010,118011
18,Tanithr,Tanithr@twitter.com,3 / 11 / 1989,39952
19,workaholic1231,workaholic1231@twitter.com,1 / 15 / 2003,61896
20,goldieloxx,goldieloxx@twitter.com,10 / 6 / 2015,29468
21,19Sarah88,19Sarah88@twitter.com,8 / 17 / 2002,96579
22,trainsong_,trainsong_@twitter.com,8 / 13 / 2016,83782
23,evgenia1501,evgenia1501@twitter.com,11 / 9 / 2014,46731
24,bordadoingles,bordadoingles@twitter.com,9 / 4 / 2011,14112
25,_Wren_,_Wren_@twitter.com,6 / 12 / 1990,38939
26,xstaciex,xstaciex@twitter.com,2 / 2 / 2010,43396
27,radilicious,radilicious@twitter.com,2 / 25 / 2018,80870
28,markbate,markbate@twitter.com,3 / 15 / 2013,31360
29,LfcRobbo,LfcRobbo@twitter.com,5 / 27 / 2018,72532
30,Neomic,Neomic@twitter.com,4 / 19 / 2013,107886
31,yesimaisya,yesimaisya@twitter.com,5 / 6 / 2000,72710
32,Kimpak,Kimpak@twitter.com,10 / 17 / 2021,86924
33,SmilyLibrarian,SmilyLibrarian@twitter.com,11 / 17 / 1994,36847
34,emmaXIII,emmaXIII@twitter.com,8 / 6 / 2004,49199
35,smileitsjordyn,smileitsjordyn@twitter.com,1 / 13 / 2005,117831
36,macehella,macehella@twitter.com,2 / 17 / 1988,44362
37,ashleyROSE21,ashleyROSE21@twitter.com,11 / 26 / 2015,12036
38,jasminedoucet,jasminedoucet@twitter.com,2 / 7 / 1997,47796
39,tankianann,tankianann@twitter.com,5 / 6 / 1993,24510
40,Britty88,Britty88@twitter.com,6 / 8 / 2018,105654
41,lvturner,lvturner@twitter.com,11 / 24 / 2002,21650
42,tjwislon,tjwislon@twitter.com,1 / 9 / 1988,70987
43,xhardtoforget,xhardtoforget@twitter.com,1 / 18 / 1997,70983
44,CathySavels,CathySavels@twitter.com,5 / 20 / 2024,86012
45,Rog_Smashy,Rog_Smashy@twitter.com,9 / 7 / 1998,5834
46,moneva,moneva@twitter.com,3 / 11 / 1998,91883
47,taralovesu,taralovesu@twitter.com,1 / 25 / 1991,117536
48,cyxob,cyxob@twitter.com,4 / 1 / 2010,108876
49,underhill70,underhill70@twitter.com,5 / 17 / 2009,5298
50,kevatkinson,kevatkinson@twitter.com,3 / 19 / 2015,87211
51,onZofranom,onZofranom@twitter.com,1 / 7 / 2000,125908
52,fetter1983,fetter1983@twitter.com,9 / 12 / 2018,114224
53,qnzdiamond2k2,qnzdiamond2k2@twitter.com,5 / 19 / 2022,18057
54,La_H,La_H@twitter.com,6 / 8 / 2007,118261
55,afokkema,afokkema@twitter.com,6 / 26 / 2006,98518
56,CathrynR,CathrynR@twitter.com,4 / 20 / 1994,91485
57,Karissma,Karissma@twitter.com,3 / 7 / 2015,42342
58,CrazyMikesapps,CrazyMikesapps@twitter.com,5 / 8 / 1996,62708
59,paperheartsneha,paperheartsneha@twitter.com,6 / 19 / 2003,4541
60,AlexBermingham,AlexBermingham@twitter.com,8 / 16 / 2015,85915
61,buttercuphll,buttercuphll@twitter.com,5 / 10 / 2007,37017
62,cravenjade,cravenjade@twitter.com,11 / 12 / 2024,4088
63,sterling_silver,sterling_silver@twitter.com,1 / 19 / 1997,123806
64,Poppietarty,Poppietarty@twitter.com,5 / 8 / 2005,50386
65,sergiubiris,sergiubiris@twitter.com,7 / 6 / 2002,76540
66,annaOrange,annaOrange@twitter.com,10 / 1 / 1990,2659
67,Angelique,Angelique@twitter.com,10 / 10 / 1985,76964
68,markhulsmeier,markhulsmeier@twitter.com,8 / 26 / 2021,71424
69,AndrewWBurns,AndrewWBurns@twitter.com,3 / 26 / 2003,93990
70,watitdo,watitdo@twitter.com,1 / 27 / 2023,65964
71,neonaie,neonaie@twitter.com,2 / 10 / 2014,93945
72,Serpentinial,Serpentinial@twitter.com,5 / 3 / 2002,37103
73,HudsonKent,HudsonKent@twitter.com,5 / 21 / 1985,109712
74,nancetron,nancetron@twitter.com,11 / 24 / 2000,53690
75,hilaryjw,hilaryjw@twitter.com,9 / 11 / 2005,117229
76,alexa_chung,alexa_chung@twitter.com,10 / 8 / 1997,550
77,taralovesu,taralovesu@twitter.com,3 / 4 / 2009,43699
78,kdlove1974,kdlove1974@twitter.com,8 / 24 / 2005,100922
79,EmilyNatanya,EmilyNatanya@twitter.com,7 / 6 / 2002,93077
80,RossGoodman,RossGoodman@twitter.com,8 / 6 / 1998,112900
81,p__greer,p__greer@twitter.com,2 / 16 / 1986,78978
82,IrvTheSwirv,IrvTheSwirv@twitter.com,6 / 16 / 1994,62153
83,lizzalina,lizzalina@twitter.com,7 / 17 / 1985,58833
84,matt_heath,matt_heath@twitter.com,2 / 7 / 1990,375
85,charlieatkins1,charlieatkins1@twitter.com,8 / 1 / 2004,95510
86,Fifi1976,Fifi1976@twitter.com,8 / 19 / 1985,70748
87,_DontTellMeLies,_DontTellMeLies@twitter.com,6 / 7 / 2019,87367
88,nfarrow,nfarrow@twitter.com,8 / 21 / 2025,44863
